,en,es
KEY_M_RENEWAL_01,the virtue of freya,la virtud de freya
KEY_M_FATIGUE_01,the scourge of Loki,el azote de Loki
KEY_M_BLESSING_01,as a protected Balder,como Balder protegido
KEY_M_GIFT_01,a gift from Odin,un regalo de Odin
KEY_M_SILVER_01,the creation of man shines,brilla la creacion del hombre
KEY_M_OXIDE_01,laziness corrodes metal,la pereza corroe el metal
KEY_M_PROVISIONS_01,Preparation paid off,La preparacion dio frutos
KEY_M_HUNGER_01,The winter punishes,El invierno castiga
KEY_M_FURY_01,The shape of the Berseker,La forma del Berseker
KEY_M_DREAD_01,Blind swords,Espadas ciegas
KEY_M_RESILIENCE_01,The hero is standing,El heroe esta de pie
KEY_M_STRATEGY_01,Experience rewards,Recompensas de la experiencia
KEY_M_IMPRUDENCE_01,Unconscious of the world,Inconciente del mundo
KEY_M_LUCK_01,Odin flipped the coin,Odin tiro la moneda
KEY_M_FATALITY_01,Loki flipped the coin,Loki tiro la moneda
