,en,es
KEY_RENEWAL,Renewal,Renovacion
KEY_EFFECT_RENEWAL,Heal unit +20,Cura unidad +20
KEY_FATIGUE,Fatigue,Fatiga
KEY_EFFECT_FATIGUE,Damage unit -20,Daña unidad -20
KEY_REVELATION,Revelation,Revelacion
KEY_EFFECT_REVELATION,View enemy unit,Ver unidad enemiga
KEY_UNKNOWN,Unknown,Desconocido
KEY_EFFECT_UNKNOWN,Lose enemy unit,Perder unidad enemiga
KEY_STRATEGY,Strategy,Estrategia
KEY_EFFECT_STRATEGY,Effects increased,Efectos aumentados
KEY_IMPRUDENCE,Imprudence,Imprudencia
KEY_EFFECT_IMPRUDENCE,Effects decreased,Efectos disminuidos
KEY_INVERTIBLE,Invertible,Invertible
KEY_NOINVERTIBLE,No Invertible,No Invertible
KEY_OR,Or,o
KEY_RESILIENCE,Resilience,Resiliencia
KEY_EFFECT_RESILIENCE,Delete a negative effect,Elimina un efecto negativo
KEY_QUICK,Quick,Rapido
KEY_EFFECT_QUICK, Increase movement speed,Aumenta velocidad de movimiento
KEY_SLOW,Slow,Lento
KEY_EFFECT_SLOW,decrease movement speed,Disminuir velocidad de movimiento
KEY_BLESSING,Blessing,Bendicion
KEY_EFFECT_BLESSING, invulnerable to damage,invulnerable 
KEY_SILVER,Silver,Plata
KEY_EFFECT_SILVER,Attack +10,Ataque +10
KEY_OXIDE,Oxide,Oxido
KEY_EFFECT_OXIDE,Attack -10,Ataque -10
KEY_GIFT,Gift,Regalo
KEY_EFFECT_GIFT,Hero defense +20,Defensa del Heroe +20
KEY_LUCK,Luck,Suerte
KEY_EFFECT_LUCK,Performs critical attack,Realiza ataques criticos
KEY_FATALITY,Fatality,Fatalidad
KEY_EFFECT_FATALITY,Receives critical attack,Recibe ataque critico
KEY_FURY ,Fury,Furia
KEY_EFFECT_FURY,Increased attack speed,Velocidad de ataque aumentada
KEY_DREAD,Dread,Temor
KEY_EFFECT_DREAD,Decreased attack speed,Disminucion de la velocidad de ataque
KEY_PROVISIONS,Provision,Provisiones
KEY_EFFECT_PROVISIONS,+10 live per turn,+10 de vida por turno
KEY_HUNGER,Hunger,Hambre
KEY_HUNGER_COLLAPSE,-10 live per turn,-10 de vida por turno
